s	p	o
11	0	1
11	0	2
11	0	3
11	0	4
11	0	5
11	0	6
11	0	7
11	0	8
11	0	9
11	0	10
11	0	11
11	0	12
11	0	13
11	0	14
11	0	15
11	0	16
12	0	17
12	0	18
12	0	19
12	0	20
12	0	21
12	0	22
12	0	23
12	0	24
12	0	25
12	0	26
12	0	27
12	0	28
12	0	29
12	0	30
12	0	31
13	0	32
13	0	33
13	0	34
13	0	35
13	0	36
13	0	37
13	0	38
13	0	39
13	0	40
13	0	38
13	0	41
13	0	42
13	0	43
13	0	44
13	0	45
13	0	46
13	0	47
13	0	48
13	0	49
13	0	50
13	0	51
13	0	52
13	0	53
30	1	54
30	1	55
30	1	56
30	1	57
30	1	58
30	1	59
30	1	60
30	1	61
30	1	62
30	1	63
30	1	64
30	1	65
30	1	66
30	1	67
30	1	67
30	1	68
30	1	69
30	1	69
30	1	70
30	1	71
30	1	72
30	1	72
30	1	72
30	1	73
30	1	74
30	1	75
30	1	76
30	1	77
30	1	78
30	1	79
30	1	80
30	1	80
30	1	81
30	1	82
30	1	83
30	1	84
30	1	85
30	1	73
30	1	86
30	1	87
30	1	88
30	1	88
30	1	89
30	1	90
30	1	91
30	1	91
30	1	92
30	1	74
30	1	93
30	1	94
30	1	95
30	1	95
30	1	96
30	1	96
30	1	97
30	1	98
30	1	99
30	1	100
30	1	101
30	1	102
30	1	102
30	1	103
30	1	103
30	1	103
30	1	103
30	1	93
30	1	93
30	1	93
30	1	93
30	1	104
30	1	104
30	1	96
30	1	78
30	1	78
30	1	78
30	1	92
30	1	92
30	1	105
30	1	105
30	1	106
30	1	106
30	1	107
30	1	107
30	1	108
30	1	109
30	1	101
30	1	110
30	1	111
30	1	111
30	1	111
30	1	111
30	1	112
30	1	113
30	1	109
30	1	109
30	1	110
30	1	110
30	1	110
30	1	110
30	1	110
30	1	114
30	1	114
30	1	114
30	1	114
30	1	115
30	1	115
30	1	115
30	1	115
30	1	115
30	1	114
30	1	114
30	1	114
30	1	101
30	1	101
30	1	96
30	1	96
30	1	96
30	1	105
30	1	105
30	1	105
30	1	91
30	1	93
30	1	93
30	1	116
30	1	117
30	1	109
30	1	101
30	1	113
30	1	113
30	1	118
30	1	118
30	1	118
30	1	119
30	1	119
30	1	119
30	1	120
30	1	120
30	1	114
30	1	114
30	1	121
30	1	112
30	1	121
30	1	122
30	1	122
30	1	119
30	1	116
30	1	111
30	1	117
30	1	117
30	1	123
30	1	123
30	1	123
30	1	123
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	124
30	1	104
31	0	125
31	0	126
31	0	127
31	0	128
31	0	129
31	0	130
31	0	131
31	0	132
31	0	133
31	0	134
31	0	135
31	0	136
31	0	137
31	0	138
31	0	139
31	0	140
31	0	141
31	0	142
31	0	143
31	0	144
31	0	145
31	0	146
31	0	147
31	0	147
31	0	148
31	0	149
31	0	150
31	0	151
31	0	152
31	0	153
31	0	154
31	0	155
31	0	156
31	0	157
31	0	158
31	0	159
31	0	160
31	0	161
31	0	162
31	0	163
31	0	164
31	0	165
31	0	166
31	0	167
31	0	163
31	0	168
31	0	169
31	0	170
31	0	171
31	0	172
31	0	173
31	0	174
31	0	175
31	0	176
31	0	177
31	0	178
31	0	179
31	0	180
31	0	181
31	0	182
31	0	183
42	2	184
42	2	37
42	2	185
42	2	186
42	2	187
42	2	188
42	2	189
42	2	190
42	2	191
42	2	192
42	2	191
42	2	193
42	2	194
42	2	195
42	2	196
42	2	197
42	2	198
42	2	198
42	2	193
42	2	199
42	2	200
42	2	201
42	2	199
42	2	202
42	2	203
42	2	204
42	2	205
42	2	206
42	2	207
42	2	208
42	2	209
42	2	210
42	2	211
42	2	212
42	2	213
42	2	214
42	2	215
42	2	216
42	2	217
42	2	218
42	2	219
42	2	219
42	2	220
42	2	221
42	2	222
42	2	223
42	2	224
42	2	225
42	2	226
42	2	227
42	2	228
42	2	229
42	2	230
42	2	221
42	2	231
42	2	232
42	2	233
42	2	234
42	2	235
42	2	236
42	2	237
42	2	39
42	2	238
42	2	239
42	2	240
42	2	241
42	2	242
42	2	243
42	2	244
42	2	245
42	2	246
42	2	247
42	2	248
42	2	249
42	2	250
42	2	251
42	2	252
42	2	253
42	2	254
42	2	255
42	2	256
42	2	257
42	2	258
42	2	259
42	2	260
42	2	261
42	2	262
42	2	263
42	2	264
42	2	265
42	2	266
42	2	29
42	2	227
42	2	253
42	2	267
42	2	268
42	2	269
42	2	35
43	1	270
43	1	270
43	1	271
43	1	272
43	1	272
43	1	273
43	1	274
43	1	274
43	1	275
43	1	67
43	1	276
43	1	277
43	1	278
43	1	279
43	1	85
43	1	70
43	1	280
43	1	75
43	1	281
43	1	123
43	1	110
43	1	115
43	1	122
43	1	282
43	1	283
43	1	284
43	1	285
43	1	286
43	1	287
43	1	288
43	1	289
43	1	289
43	1	290
43	1	291
43	1	292
43	1	293
43	1	294
43	1	295
43	1	296
43	1	297
43	1	298
43	1	299
43	1	299
43	1	300
43	1	301
43	1	302
43	1	292
43	1	290
43	1	303
43	1	303
43	1	304
43	1	305
43	1	306
43	1	307
43	1	307
43	1	308
43	1	308
43	1	309
43	1	306
43	1	310
43	1	311
43	1	312
43	1	313
43	1	314
43	1	314
43	1	315
43	1	315
43	1	315
43	1	316
43	1	317
43	1	318
43	1	299
43	1	299
43	1	299
43	1	296
43	1	319
43	1	319
43	1	319
43	1	319
43	1	319
43	1	312
43	1	320
43	1	320
43	1	321
43	1	322
43	1	312
43	1	130
43	1	312
43	1	323
43	1	323
43	1	312
43	1	312
43	1	324
43	1	325
43	1	312
43	1	312
43	1	326
43	1	322
43	1	312
43	1	312
43	1	321
43	1	321
43	1	321
43	1	323
43	1	323
43	1	295
43	1	327
43	1	296
43	1	328
43	1	328
43	1	311
43	1	311
43	1	313
43	1	313
43	1	313
43	1	313
43	1	329
43	1	328
43	1	328
43	1	322
43	1	330
43	1	297
43	1	295
43	1	331
43	1	314
43	1	314
43	1	332
43	1	332
43	1	333
43	1	317
43	1	334
43	1	335
43	1	335
43	1	336
43	1	337
43	1	337
43	1	338
43	1	315
43	1	339
43	1	339
43	1	326
43	1	298
43	1	300
43	1	340
43	1	340
43	1	341
43	1	293
43	1	293
43	1	298
43	1	296
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	320
43	1	328
43	1	302
43	1	342
43	1	300
43	1	300
43	1	309
43	1	311
43	1	306
43	1	319
43	1	321
